ID	genus	infragenericEpithet	specificEpithet	infraspecificEpithet	authorship	remarks
Dicranophorus-alcimus	Dicranophorus		alcimus		Harring & Myers 1928	Transactions of the Wisconsin Academy of Sciences, Arts and Letters, Arts and Letters, 23: p.721, pl.30, figs.1-3; syntype: AMNH 587 [valid as Dicranophorus alcimus; name declinable]
Encentrum-algente	Encentrum		algente		Harring 1921	Report of the Canadian Arctic Expedition, 1913-18, 8: p.4, pl.1, figs.1,2; no deposited types known [valid as Encentrum algente; name indeclinable]
Floscularia-algicola	Floscularia		algicola		Hudson 1886	in Hudson, C T & P H Gosse, The Rotifera; or wheel- animalcules, both British and foreign: v.1, p.54, pl.1, fig.3, pl.2, fig.1; no deposited types known [valid as Collotheca algicola; name indeclinable]
Macrotrachela-aliena	Macrotrachela		aliena		Donner 1964	Archiv für Hydrobiologie, Supplement, 27/1: p.303, fig.41; no deposited types known [valid as Macrotrachela brevilabris aliena; name declinable]
Lecane-aliger	Lecane		aliger		Nogrady 1983	Hydrobiologia, 106: p.109, fig.4; no deposited types known [junior subjective synonym of Lecane spinulifera Edmondson, 1935; name indeclinable]
Habrotrocha-ligula-aligula	Habrotrocha		ligula	aligula	Burger 1948	Transactions of the American Microscopical Society, 67: p.117, figs.3f,4,17; no deposited types known [valid as Habrotrocha ligula aligula; name indeclinable]
Callidina-allani	Callidina		allani		Murray 1911	Journal of the Royal Microscopical Society, 31: p.6, pl.1, fig.2; no deposited types known [valid as Macrotrachela allani; name indeclinable]
Notommata-allantois	Notommata		allantois		Wulfert 1935	Archiv für Hydrobiologie, 28: p.591, fig.8; no deposited types known [valid as Notommata allantois; name indeclinable]
Adineta-alluaudi	Adineta		alluaudi		Certes 1903	Memorie della Pontificia Accademia Romana dei Nuovi Lincei, 21: p.277; no deposited types known [junior subjective synonym of Adineta oculata (Milne, 1886); name indeclinable]
Lepadella-alona	Lepadella		alona		Wulfert 1956	Archiv für Hydrobiologie, 51: p.474, fig.23; no deposited types known [junior subjective synonym of Lepadella triptera (Ehrenberg, 1830); name indeclinable]
Philodina-roseola-alpina	Philodina		roseola	alpina	Calloni 1889	no deposited types known [junior subjective synonym of Philodina roseola Ehrenberg, 1832 name declinable]
Encentrum-alpinum	Encentrum		alpinum		Jersabek 1999	Journal of Natural History, 33: p.180, fig.2; holotype: OÖLM HT98/3 [valid as Encentrum alpinum; name declinable]
Callidina-alpium	Callidina		alpium		Ehrenberg 1853	Bericht über die zur Bekanntmachung geeigneten Verhandlungen der Königlich Preußischen Akademie der Wissenschaften zu Berlin: p.529; no deposited types known [type species of genus Pleuretra Ehrenberg, 1853; valid as Pleuretra alpium; name indeclinable]
Polychaetus-altamirai	Polychaetus		altamirai		Arévalo 1918	Anales del Instituto General Técnico de Valencia, 8: p.28, fig.13; no deposited types known [valid as Macrochaetus altamirai; name indeclinable]
